[14:32:21] [ClientServer/ClientMain/KERNEL]: 0.开始建立网络连接…………
[14:32:21] [ClientServer/ClientMain/KERNEL]: 1.网络连接成功!
[14:32:21] [ClientServer/ClientMain/KERNEL]: 2.发送0000包，确认对方是否为服务器Gate端
[14:32:22] [ClientSever/LoginBox/serverState/INFO]: Receive a package 0001(回应连接请求)
[14:32:22] [ClientSever/LoginBox/serverState/INFO]: package 0001: 1
[14:32:22] [ClientServer/ClientMain/KERNEL]: 3.收到0001包，确认对方为服务器Gate端
[14:32:23] [ClientServer/ClientMain/KERNEL]: 4.初始化loginBox登陆界面
[14:32:25] [ClientServer/LoginBox/onLoginResponse/INFO]: Receive a package 0003(登陆反馈)
[14:32:25] [ClientServer/LoginBox/onLoginResponse/INFO]: package 0003: true
[14:32:26] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:32:26] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:32:26] [ClientServer/LoginBox/noMorePackage/INFO]: Receive a package 0006(角色预加载: 这是最后一个空包
[14:32:28] [ClientServer/LoginBox/onCreatResponse/INFO]: Receive a package 0009(角色创建结果)
[14:32:29] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:32:29] [ClientServer/ClientMain/KERNEL]: 5.登陆结束
[14:32:29] [ClientServer/ClientMain/KERNEL]: 6.开始游戏，启动gameBox
[14:32:29] [ClientServer/GameBox/startGame/KERNEL]: 接收主角详细信息(000A):关闭加载窗口,开始游戏!
[14:32:29] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:29] [Client/GameBox/updateTarget/INFO]: targetX: 10000/targetY 20000
[14:32:30] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:30] [Client/GameBox/updateTarget/INFO]: targetX: 368/targetY 186
[14:32:31] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:31] [Client/GameBox/sendTargetPos/INFO]: targetX: 368.0/targetY: 186.0
[14:32:31] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:32] [Client/GameBox/updateTarget/INFO]: targetX: 429/targetY 205
[14:32:32] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:32] [Client/GameBox/sendTargetPos/INFO]: targetX: 429.0/targetY: 205.0
[14:32:33] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:33] [Client/GameBox/updateTarget/INFO]: targetX: 429/targetY 205
[14:32:33] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:33] [Client/GameBox/sendTargetPos/INFO]: targetX: 429.0/targetY: 205.0
[14:32:33] [AioModule/Write/Failed/WARNING]: Failed to send to sessionnull. java.nio.channels.ClosedChannelException
[14:32:34] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:34] [Client/GameBox/updateTarget/INFO]: targetX: 468/targetY 187
[14:32:34] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:34] [Client/GameBox/sendTargetPos/INFO]: targetX: 468.0/targetY: 187.0
[14:32:34] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:34] [Client/GameBox/updateTarget/INFO]: targetX: 483/targetY 149
[14:32:35] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:35] [Client/GameBox/sendTargetPos/INFO]: targetX: 483.0/targetY: 149.0
[14:32:35] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:35] [Client/GameBox/updateTarget/INFO]: targetX: 544/targetY 24
[14:32:35] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:35] [Client/GameBox/sendTargetPos/INFO]: targetX: 544.0/targetY: 24.0
[14:32:36] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:36] [Client/GameBox/updateTarget/INFO]: targetX: 565/targetY 93
[14:32:36] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:36] [Client/GameBox/sendTargetPos/INFO]: targetX: 565.0/targetY: 93.0
[14:32:37] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:37] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:37] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:37] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:37] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:37] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:37] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:38] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:38] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:38] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:38] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:38] [Client/GameBox/updateTarget/INFO]: targetX: 600/targetY 16
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 600.0/targetY: 16.0
[14:32:39] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:39] [Client/GameBox/updateTarget/INFO]: targetX: 525/targetY 288
[14:32:39] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:39] [Client/GameBox/sendTargetPos/INFO]: targetX: 525.0/targetY: 288.0
[14:32:42] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:43] [Client/GameBox/updateTarget/INFO]: targetX: 150/targetY 316
[14:32:43] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:43] [Client/GameBox/sendTargetPos/INFO]: targetX: 150.0/targetY: 316.0
[14:32:47] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:47] [Client/GameBox/updateTarget/INFO]: targetX: 456/targetY 201
[14:32:47] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:47] [Client/GameBox/sendTargetPos/INFO]: targetX: 456.0/targetY: 201.0
[14:32:48] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:48] [Client/GameBox/updateTarget/INFO]: targetX: 456/targetY 201
[14:32:48] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:48] [Client/GameBox/sendTargetPos/INFO]: targetX: 456.0/targetY: 201.0
[14:32:50] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:50] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 3
[14:32:50] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:50] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 3.0
[14:32:54] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:54] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 0
[14:32:54] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:54] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 0.0
[14:32:58] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:32:58] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 0
[14:32:58] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:32:58] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 0.0
[14:33:04] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:04] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 0
[14:33:04] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:04] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 0.0
[14:33:05] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:05] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 0
[14:33:05] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:05] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 0.0
[14:33:06] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:06] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 0
[14:33:06] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:06] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 0.0
[14:33:10] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:10] [Client/GameBox/updateTarget/INFO]: targetX: 3/targetY 5
[14:33:10] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:10] [Client/GameBox/sendTargetPos/INFO]: targetX: 3.0/targetY: 5.0
[14:33:19] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:19] [Client/GameBox/updateTarget/INFO]: targetX: 1/targetY -15
[14:33:19] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:19] [Client/GameBox/sendTargetPos/INFO]: targetX: 1.0/targetY: -15.0
[14:33:24] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:24] [Client/GameBox/updateTarget/INFO]: targetX: -682/targetY -33
[14:33:24] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:24] [Client/GameBox/sendTargetPos/INFO]: targetX: -682.0/targetY: -33.0
[14:33:35] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:35] [Client/GameBox/updateTarget/INFO]: targetX: -676/targetY -344
[14:33:35] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:35] [Client/GameBox/sendTargetPos/INFO]: targetX: -676.0/targetY: -344.0
[14:33:38] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:33:38] [Client/GameBox/updateTarget/INFO]: targetX: 4/targetY 2
[14:33:38] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:33:38] [Client/GameBox/sendTargetPos/INFO]: targetX: 4.0/targetY: 2.0
